tld,type,language_code,sponsor,punycode,translation,romanized,rtl
circle,gTLD,,"Amazon Registry Services, Inc.",,,,False
cisco,gTLD,,"Cisco Technology, Inc.",,,,False
citadel,gTLD,,Citadel Domain LLC,,,,False
citi,gTLD,,Citigroup Inc.,,,,False
citic,gTLD,,CITIC Group Corporation,,,,False
city,gTLD,,"Binky Moon, LLC",,,,False
cityeats,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
ck,ccTLD,,Telecom Cook Islands Ltd.,,,,False
cl,ccTLD,,NIC Chile (University of Chile),,,,False
claims,gTLD,,"Binky Moon, LLC",,,,False
cleaning,gTLD,,"Binky Moon, LLC",,,,False
click,gTLD,,"Uniregistry, Corp.",,,,False
clinic,gTLD,,"Binky Moon, LLC",,,,False
clinique,gTLD,,The Estée Lauder Companies Inc.,,,,False
clothing,gTLD,,"Binky Moon, LLC",,,,False
cloud,gTLD,,ARUBA PEC S.p.A.,,,,False
club,gTLD,,".CLUB DOMAINS, LLC",,,,False
clubmed,gTLD,,Club Méditerranée S.A.,,,,False
cm,ccTLD,,Cameroon Telecommunications (CAMTEL),,,,False
cn,ccTLD,,China Internet Network Information Center (CNNIC),,,,False
co,ccTLD,,Ministry of Information and Communications Technologies (MinTIC),,,,False
coach,gTLD,,"Binky Moon, LLC",,,,False
codes,gTLD,,"Binky Moon, LLC",,,,False
coffee,gTLD,,"Binky Moon, LLC",,,,False
college,gTLD,,XYZ.COM LLC,,,,False
cologne,gTLD,,dotKoeln GmbH,,,,False
com,gTLD,,VeriSign Global Registry Services,,,,False
comcast,gTLD,,"Comcast IP Holdings I, LLC",,,,False
commbank,gTLD,,COMMONWEALTH BANK OF AUSTRALIA,,,,False
community,gTLD,,"Binky Moon, LLC",,,,False
company,gTLD,,"Binky Moon, LLC",,,,False
compare,gTLD,,"Registry Services, LLC",,,,False
computer,gTLD,,"Binky Moon, LLC",,,,False
comsec,gTLD,,"VeriSign, Inc.",,,,False
condos,gTLD,,"Binky Moon, LLC",,,,False
construction,gTLD,,"Binky Moon, LLC",,,,False
consulting,gTLD,,"United TLD Holdco, LTD.",,,,False
contact,gTLD,,"Dog Beach, LLC",,,,False
contractors,gTLD,,"Binky Moon, LLC",,,,False
cooking,gTLD,,Minds + Machines Group Limited,,,,False
cookingchannel,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
cool,gTLD,,"Binky Moon, LLC",,,,False
coop,sTLD,,DotCooperation LLC,,,,False
corsica,gTLD,,Collectivité de Corse,,,,False
country,gTLD,,Top Level Domain Holdings Limited,,,,False
coupon,gTLD,,"Amazon Registry Services, Inc.",,,,False
coupons,gTLD,,"Binky Moon, LLC",,,,False
courses,gTLD,,OPEN UNIVERSITIES AUSTRALIA PTY LTD,,,,False
cpa,gTLD,,American Institute of Certified Public Accountants,,,,False
cr,ccTLD,,National Academy of Sciences Academia Nacional de Ciencias,,,,False
credit,gTLD,,"Binky Moon, LLC",,,,False
creditcard,gTLD,,"Binky Moon, LLC",,,,False
creditunion,gTLD,,"CUNA Performance Resources, LLC",,,,False
cricket,gTLD,,dot Cricket Limited,,,,False
crown,gTLD,,Crown Equipment Corporation,,,,False
crs,gTLD,,Federated Co-operatives Limited,,,,False
cruise,gTLD,,Viking River Cruises (Bermuda) Ltd.,,,,False
cruises,gTLD,,"Binky Moon, LLC",,,,False
csc,gTLD,,"Alliance-One Services, Inc.",,,,False
cu,ccTLD,,CENIAInternet Industria y San Jose Capitolio Nacional,,,,False
cuisinella,gTLD,,SALM S.A.S.,,,,False
cv,ccTLD,,Agência Reguladora Multissectorial da Economia (ARME),,,,False
cw,ccTLD,,University of Curacao,,,,False
cx,ccTLD,,Christmas Island Domain Administration Limited,,,,False
cy,ccTLD,,University of Cyprus,,,,False
cymru,gTLD,,Nominet UK,,,,False
cyou,gTLD,,Shortdot SA,,,,False
cz,ccTLD,,"CZ.NIC, z.s.p.o",,,,False
dabur,gTLD,,Dabur India Limited,,,,False
dad,gTLD,,Charleston Road Registry Inc.,,,,False
dance,gTLD,,United TLD Holdco Ltd.,,,,False
data,gTLD,,Dish DBS Corporation,,,,False
date,gTLD,,dot Date Limited,,,,False
dating,gTLD,,"Binky Moon, LLC",,,,False
datsun,gTLD,,"NISSAN MOTOR CO., LTD.",,,,False
day,gTLD,,Charleston Road Registry Inc.,,,,False
dclk,gTLD,,Charleston Road Registry Inc.,,,,False
dds,gTLD,,Minds + Machines Group Limited,,,,False
de,ccTLD,,DENIC eG,,,,False
